,id_,company_name,city,state,postal_code,phone,email
0,471,Zachariah PLC,Jalandhar,Punjab,448740,2650751385,mirayabhardwaj@example.org
1,459,"Arora, Deep and Brahmbhatt",Tadipatri,Punjab,178368,+915306107921,rbose@example.org
2,461,Buch Inc,Korba,Himachal Pradesh,766120,+911829157824,indranilsehgal@example.org
3,450,"Sinha, Bajaj and Ratta",Indore,Haryana,291709,+917124962344,kgokhale@example.net
4,473,"Samra, Sami and Khatri",Tirunelveli,Kerala,280822,+919610456296,aroratanya@example.com
5,462,Wason PLC,Berhampur,Tripura,436376,+918498140442,jayantdeshpande@example.net
6,472,"Loke, Dubey and Gaba",Kamarhati,Himachal Pradesh,988199,1471349361,bhavin16@example.com
7,463,Atwal Inc,Durg,Kerala,590357,+910994297898,daraprisha@example.com
8,457,Dada Group,Khandwa,Andhra Pradesh,225703,06609318713,kabir43@example.net
9,465,Behl-Mandal,Pali,Uttarakhand,151600,0909622239,ctak@example.com
10,470,Mane-Grover,Kavali,Sikkim,379423,+911868491649,oorja33@example.com
11,469,Dada Inc,Rajkot,Odisha,778363,7821595796,trisha59@example.org
12,452,"Verma, Barad and Sridhar",Tadipatri,Karnataka,565898,1246720088,sana85@example.org
13,453,"Kurian, Sami and Bhardwaj",Sikar,Assam,718985,7213482750,ramachandranakarsh@example.com
14,468,Savant-Dutt,Cuttack,Chhattisgarh,894017,8509762892,shanaya94@example.com
15,458,"Rau, Som and Sachar",Mahbubnagar,Madhya Pradesh,631630,3627555151,ishita34@example.com
16,475,"Yogi, Rout and Keer",Dhanbad,Tripura,240671,+914351270324,romilwadhwa@example.com
17,460,Dubey-Bakshi,Bulandshahr,Rajasthan,790607,+910689409405,arnav99@example.com
18,456,"Sangha, Khalsa and Swamy",Satara,Sikkim,006217,+911091808031,zgala@example.com
19,464,"Dube, Choudhry and Sangha",Sri Ganganagar,Rajasthan,227084,4203271914,sundaramdiya@example.net
20,467,"Bhatt, Cheema and Kumar",Chinsurah,Odisha,722780,9010236389,hanskrish@example.com
21,466,Bose PLC,Surat,Sikkim,143444,08870293931,sumerkohli@example.org
22,455,Bali PLC,Pune,Manipur,836916,05350825770,oorja61@example.org
23,451,Sama-Manne,New Delhi,Manipur,266132,0796579064,bhamini69@example.org
24,454,"Dua, Varma and Bala",Coimbatore,Telangana,993101,3017168918,samaira49@example.org
